University,EV_team_name,link
Erciyes University (Kayseri),ERURacing,https://tid.fsg.one/1027
University of Kocaeli,KOU Racing,https://tid.fsg.one/1205
Odessa Polytechnic National State University,Formula Electric ONPU,https://tid.fsg.one/1264
Khalifa University (Abu Dhabi),abu dhabi car group,https://tid.fsg.one/1118
University of Bath,Team Bath Racing Electric,https://tid.fsg.one/886
University of Bristol,WRL-Electric,https://fs-world.org/p2.php?u=1028&c=2
Coventry University,Pheonix Racing,https://tid.fsg.one/630
University of Strathclyde (Glasgow),University of Strathclyde Motorsport,https://tid.fsg.one/1202
University of Surrey (Guildford),Team SURTES,https://tid.fsg.one/808
University Of Hertfordshire (Hatfield),University of Hertfordshire,https://tid.fsg.one/257
Kingston University,KU Motorsports,https://tid.fsg.one/721
University of Leicester,WRL-Electric,https://fs-world.org/p2.php?u=956&c=2
Liverpool John Moores University,LJMU e-Racing Team,https://tid.fsg.one/1017
Imperial College London,Imperial Formula Racing,https://tid.fsg.one/1109
Loughborough University,LUMotorsport,https://tid.fsg.one/1097
Newcastle University,WRL-Electric,https://fs-world.org/p2.php?u=348&c=2
Oxford Brookes University,Oxford Brookes Racing,https://tid.fsg.one/290
University of Southampton,SUFST,https://tid.fsg.one/1269
Brunel University London (Uxbridge),Brunel Racing Electric,https://tid.fsg.one/1041
University of Texas at Arlington,UTA Racing,https://tid.fsg.one/699
University of North Carolina at Asheville,WRL-Electric,https://fs-world.org/p2.php?u=1070&c=2
Auburn University,War Eagle Motorsports,https://tid.fsg.one/765
University of Texas at Austin,Longhorn Racing Electric,https://tid.fsg.one/1185
Virginia Polytechnic Institute and State University,WRL-Electric,https://fs-world.org/p2.php?u=508&c=2
University of Missouri,Mizzou Eco Racing,https://tid.fsg.one/1161
Oregon State University (Corvallis),Global-Formula-Racing (US),https://tid.fsg.one/385
University of California Davis,WRL-Electric,https://fs-world.org/p2.php?u=412&c=2
The University of Michigan-Dearborn,The University of Michigan Dearborn Formula SAE Electric Racing Team,https://tid.fsg.one/363
University of Iowa,WRL-Electric,https://fs-world.org/p2.php?u=478&c=2
University of California Irvine,Anteater Racing,https://tid.fsg.one/1156
Kennesaw State University,WRL-Electric,https://fs-world.org/p2.php?u=374&c=2
University of Kansas (Lawrence),Jayhawk Motorsports,https://tid.fsg.one/661
Olin College of Engineering (Needham),WRL-Electric,https://fs-world.org/p2.php?u=1071&c=2
California Institute of Technology,WRL-Electric,https://fs-world.org/p2.php?u=1202&c=2
University of Pennsylvania,Penn Electric Racing,https://tid.fsg.one/568
Carnegie Mellon University,Carnegie Mellon Racing,https://tid.fsg.one/1196
"University of California, Riverside",WRL-Electric,https://fs-world.org/p2.php?u=572&c=2
University of Utah,WRL-Electric,https://fs-world.org/p2.php?u=499&c=2
University of Texas at San Antonio,WRL-Electric,https://fs-world.org/p2.php?u=444&c=2
San Diego State University,WRL-Electric,https://fs-world.org/p2.php?u=342&c=2
San José State University,Spartan Racing Electric,https://tid.fsg.one/692
California State Polytechnic University - San Luis Obispo,Cal Poly Racing,https://tid.fsg.one/573
University of California - Santa Cruz,WRL-Electric,https://fs-world.org/p2.php?u=1269&c=2
University of Washington (Seattle),UW Formula Motorsports,https://tid.fsg.one/542
