University,CV_team_name,link
PES Institute of Technology (Bangalore),Team Vidyuth,https://tid.fsg.one/396
PES University (Bangalore),Team Haya Racing,https://tid.fsg.one/851
R.V.College of Engineering (Bangalore),Ashwa Racing,https://tid.fsg.one/103
Ramaiah Institute of Technology,Velocita Racing,https://tid.fsg.one/143
Sir M. Visvesvaraya Institute of Technology,Vulkan Motorsports ,https://tid.fsg.one/793
Sri Venkateshwara College of Engineering - Bangalore,Transformers,https://tid.fsg.one/646
Visvesvaraya Technological University,Tachyon Motorsport,https://tid.fsg.one/1261
Gogte Institute of Technology (Belgaum),Vijayrath Racing,https://tid.fsg.one/191
Acharya Institute of Technology,Max Torque Racing,https://tid.fsg.one/940
Oriental Institute of Science & Technology,QUASARS,https://tid.fsg.one/608
University Institute of Technology RGPV Bhopal,Team Infinity Racers,https://tid.fsg.one/975
Kalinga Institute of Industrial Technology (Bhubaneswar),Hermes Racing,https://tid.fsg.one/840
Engineering College Bikaner,Garud Racing,https://tid.fsg.one/282
National Institute of Technology - Calicut,Team Unwired,https://tid.fsg.one/538
Chandigarh College of Engineering and Technology,Team Corsa,https://tid.fsg.one/1011
Chandigarh Engineering College,speedy racers,https://tid.fsg.one/626
Panjab University,STORM-BREAKERS,https://tid.fsg.one/965
PEC University of Technology,Aziz Luna,https://tid.fsg.one/410
Charotar University of Science and Technology,Team Ojaswat,https://tid.fsg.one/905
Hindustan Institute of Technology and Science,Yodha Racing ,https://tid.fsg.one/281
Indian Institute of Technology Madras (Chennai),Raftar Formula Racing,https://tid.fsg.one/460
Madras Institute of Technology,Team Racing Nemos,https://tid.fsg.one/903
SRM Institute of Science and Technology - Kattankulathur (Chennai),Camber Racing,https://tid.fsg.one/552
SRM Institute of Science and Technology - Ramapuram (Chennai),Hawkz Racing,https://tid.fsg.one/1105
Vel Tech Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College,Fast and Furious Motorsports,https://tid.fsg.one/898
VIT University - Chennai,Shaurya Racing,https://tid.fsg.one/534
"Amrita School of Engineering, Coimbatore (Coimbatore)",Amrita Racing,https://tid.fsg.one/843
Dr. Mahalingam College of Engineering and Technology (Coimbatore),MCET Renn,https://tid.fsg.one/589
Kumaraguru College of Technology (Coimbatore),Team Sakthi Racing,https://tid.fsg.one/847
PSG College of Technology (Coimbatore),Pegasus Racing,https://tid.fsg.one/729
PSG Institute of Advanced Studies (Coimbatore),globus racing,https://tid.fsg.one/733
Sri Krishna College of Engineering And Technology,Gepard Racing,https://tid.fsg.one/514
United Institute of Technology,Indian Jaguar Racing,https://tid.fsg.one/732
DIT University,DIT MOTORACING,https://tid.fsg.one/856
Graphic Era University (Dehradun),GEUmotorsports,https://tid.fsg.one/853
Delhi Technological University,Team Defianz Racing,https://tid.fsg.one/816
Gandhi Institute of Research and Development,Horizon Raciing,https://tid.fsg.one/554
Guru Gobind Singh Indraprastha University,AIOUS Racing Team,https://tid.fsg.one/182
HMR Institute of Technology & Management,Mechsonic Racing,https://tid.fsg.one/677
Indian Institute of Technology Dhanbad,Team Mechismu,https://tid.fsg.one/1000
Indian School of Mines,MECHISMU RACING,https://tid.fsg.one/634
"J.C. Bose University of Science and Technology, YMCA (Faridabad)",Team Mechnext_Racing,https://tid.fsg.one/960
Manav Rachna International University (Faridabad),Team coolrunnings,https://tid.fsg.one/593
Gujarat Technological University (Gandhinagar),GTU Motorsports,https://tid.fsg.one/961
Galgotias University (Gautam Buddha Nagar),Automantra Racing,https://tid.fsg.one/889
"Sharda University, Greater Noida",Tornadoes Racing,https://tid.fsg.one/633
Indian Institute of Technology Guwahati,Evolution,https://tid.fsg.one/1089
Haldia Institute of Technology,MANAB RACING,https://tid.fsg.one/891
MCKV Institute of Engineering,Falcon Racing,https://tid.fsg.one/190
KLE Technological University (Hubballi),Team Vegadooth Racing,https://tid.fsg.one/922
Chaitanya Bharathi Institute of Technology (Hyderabad),WRL-Combustion,https://fs-world.org/p2.php?u=975&c=1
Guru Nanak Institute of Technology,Super Ignite Motorsports,https://tid.fsg.one/1007
MVSR Engineering College,Ampere Motorsport India,https://tid.fsg.one/685
